ProcessID,SampleID,CollectionNotes,HWGrad,Plot,Method,HWGrad_Description,CONTIG,Project Code,Process ID,Sample ID,Field ID,BIN,Catalog Num,COI-5P Seq. Length,# ambiguities
ASSBW133-18,CCDB-30296-D02,BFMX Plot 5|Malaise|Mixed stand,BFMX,Plot 5,Malaise,Mixed stand,BFMXBOLD:AAG8213,ASSBW,ASSBW133-18,CCDB-30296-D02,M5,BOLD:AAG8213,,658,0
ASSBW306-18,CCDB-30293-B09,HWBF Plot 9|Malaise|Hardwood dominated stand,HWBF,Plot 9,Malaise,Hardwood dominated stand,HWBFBOLD:AAG8409,ASSBW,ASSBW306-18,CCDB-30293-B09,M9,BOLD:AAG8409,,658,0
ASSBW051-18,CCDB-30294-E03,BFBF Plot 1|Malaise|Balsam fir dominated stand,BFBF,Plot 1,Malaise,Balsam fir dominated stand,BFBFBOLD:AAH0617,ASSBW,ASSBW051-18,CCDB-30294-E03,M1,BOLD:AAH0617,,658,0
ASSBW161-18,CCDB-30296-F06,BFBF Plot 2|Malaise|Balsam fir dominated stand,BFBF,Plot 2,Malaise,Balsam fir dominated stand,BFBFBOLD:AAH0617,ASSBW,ASSBW161-18,CCDB-30296-F06,M2,BOLD:AAH0617,,658,0
ASSBW330-18,CCDB-30293-D09,BFMX Plot 6|Malaise|Mixed stand,BFMX,Plot 6,Malaise,Mixed stand,BFMXBOLD:AAH1508,ASSBW,ASSBW330-18,CCDB-30293-D09,M6,BOLD:AAH1508,,658,0
ASNBA572-16,Acadia15-32-175,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA572-16,Acadia15-32-175,Acadia15-32-175,BOLD:AAH1884,,658,0
ASNBA575-16,Acadia15-30-178,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA575-16,Acadia15-30-178,Acadia15-30-178,BOLD:AAH1884,,658,0
ASNBA576-16,Acadia15-30-179,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA576-16,Acadia15-30-179,Acadia15-30-179,BOLD:AAH1884,,651,0
ASNBA577-16,Acadia15-10-180,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA577-16,Acadia15-10-180,Acadia15-10-180,BOLD:AAH1884,,327,0
ASNBA578-16,Acadia15-33-181,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA578-16,Acadia15-33-181,Acadia15-33-181,BOLD:AAH1884,,658,0
ASNBA583-16,Acadia15-31-184a,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA583-16,Acadia15-31-184a,Acadia15-31-184a,BOLD:AAH1884,,658,0
ASNBA584-16,Acadia15-31-184b,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA584-16,Acadia15-31-184b,Acadia15-31-184b,BOLD:AAH1884,,658,0
ASNBA588-16,Acadia15-33-181DUP,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA588-16,Acadia15-33-181DUP,Acadia15-33-181DUP,BOLD:AAH1884,,658,0
ASNBA590-16,Acadia15-30-179DUP,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA590-16,Acadia15-30-179DUP,Acadia15-30-179DUP,BOLD:AAH1884,,658,0
ASNBA591-16,Acadia15-30-178DUP,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA591-16,Acadia15-30-178DUP,Acadia15-30-178DUP,BOLD:AAH1884,,658,0
ASNBA594-16,Acadia15-32-175DUP,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA594-16,Acadia15-32-175DUP,Acadia15-32-175DUP,BOLD:AAH1884,,658,0
ASNBA596-16,Acadia15-10-136a,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA596-16,Acadia15-10-136a,Acadia15-10-136a,BOLD:AAH1884,,658,0
ASNBA597-16,Acadia15-10-136b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA597-16,Acadia15-10-136b,Acadia15-10-136b,BOLD:AAH1884,,407,0
ASNBA598-16,Acadia15-16-135,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA598-16,Acadia15-16-135,Acadia15-16-135,BOLD:AAH1884,,658,0
ASNBA599-16,Acadia15-10-134,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA599-16,Acadia15-10-134,Acadia15-10-134,BOLD:AAH1884,,385,0
ASNBA601-16,Acadia15-28-132a,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA601-16,Acadia15-28-132a,Acadia15-28-132a,BOLD:AAH1884,,658,0
ASNBA605-16,Acadia15-14-129,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA605-16,Acadia15-14-129,Acadia15-14-129,BOLD:AAH1884,,407,0
ASNBA607-16,Acadia15-10-127,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA607-16,Acadia15-10-127,Acadia15-10-127,BOLD:AAH1884,,658,0
ASNBA608-16,Acadia15-18-126a,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA608-16,Acadia15-18-126a,Acadia15-18-126a,BOLD:AAH1884,,658,0
ASNBA610-16,Acadia15-10-125a,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA610-16,Acadia15-10-125a,Acadia15-10-125a,BOLD:AAH1884,,658,0
ASNBA613-16,Acadia15-26-124,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA613-16,Acadia15-26-124,Acadia15-26-124,BOLD:AAH1884,,407,0
ASNBA615-16,Acadia15-33-121,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA615-16,Acadia15-33-121,Acadia15-33-121,BOLD:AAH1884,,350,1
ASNBA617-16,Acadia15-38-119,HWBF Plot 8|Reared|Hardwood dominated stand,HWBF,Plot 8,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA617-16,Acadia15-38-119,Acadia15-38-119,BOLD:AAH1884,,658,0
ASNBA621-16,Acadia15-4-73a,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA621-16,Acadia15-4-73a,Acadia15-4-73a,BOLD:AAH1884,,658,0
ASNBA622-16,Acadia15-4-73b,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA622-16,Acadia15-4-73b,Acadia15-4-73b,BOLD:AAH1884,,407,0
ASNBA623-16,Acadia15-5-74a,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA623-16,Acadia15-5-74a,Acadia15-5-74a,BOLD:AAH1884,,658,0
ASNBA624-16,Acadia15-5-74b,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA624-16,Acadia15-5-74b,Acadia15-5-74b,BOLD:AAH1884,,658,0
ASNBA625-16,Acadia15-7-75a,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA625-16,Acadia15-7-75a,Acadia15-7-75a,BOLD:AAH1884,,658,0
ASNBA626-16,Acadia15-7-75b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA626-16,Acadia15-7-75b,Acadia15-7-75b,BOLD:AAH1884,,407,0
ASNBA632-16,Acadia15-8-80,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA632-16,Acadia15-8-80,Acadia15-8-80,BOLD:AAH1884,,407,0
ASNBA633-16,Acadia15-12-81a,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA633-16,Acadia15-12-81a,Acadia15-12-81a,BOLD:AAH1884,,658,0
ASNBA635-16,Acadia15-12-82,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA635-16,Acadia15-12-82,Acadia15-12-82,BOLD:AAH1884,,407,1
ASNBA640-16,Acadia15-32-1,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA640-16,Acadia15-32-1,Acadia15-32-1,BOLD:AAH1884,,368,0
ASNBA641-16,Acadia15-15-3,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA641-16,Acadia15-15-3,Acadia15-15-3,BOLD:AAH1884,,407,0
ASNBA654-16,Acadia15-9-16b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA654-16,Acadia15-9-16b,Acadia15-9-16b,BOLD:AAH1884,,658,0
ASNBA656-16,Acadia15-9-17b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA656-16,Acadia15-9-17b,Acadia15-9-17b,BOLD:AAH1884,,658,0
ASNBA659-16,Acadia15-18-20,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA659-16,Acadia15-18-20,Acadia15-18-20,BOLD:AAH1884,,407,0
ASNBA661-16,Acadia15-10-27,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA661-16,Acadia15-10-27,Acadia15-10-27,BOLD:AAH1884,,368,0
ASNBA663-16,Acadia15-28-28b,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA663-16,Acadia15-28-28b,Acadia15-28-28b,BOLD:AAH1884,,658,0
ASNBA664-16,Acadia15-29-29,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA664-16,Acadia15-29-29,Acadia15-29-29,BOLD:AAH1884,,407,0
ASNBA665-16,Acadia15-6-30,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA665-16,Acadia15-6-30,Acadia15-6-30,BOLD:AAH1884,,658,0
ASNBA667-16,Acadia15-30-31b,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA667-16,Acadia15-30-31b,Acadia15-30-31b,BOLD:AAH1884,,658,0
ASNBA668-16,Acadia15- 26-32,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA668-16,Acadia15- 26-32,Acadia15- 26-32,BOLD:AAH1884,,603,0
ASNBA673-16,Acadia15-39-38,HWBF Plot 8|Reared|Hardwood dominated stand,HWBF,Plot 8,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA673-16,Acadia15-39-38,Acadia15-39-38,BOLD:AAH1884,,410,0
ASNBA674-16,Acadia15-9-39a,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA674-16,Acadia15-9-39a,Acadia15-9-39a,BOLD:AAH1884,,658,1
ASNBA675-16,Acadia15-9-39b,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA675-16,Acadia15-9-39b,Acadia15-9-39b,BOLD:AAH1884,,634,1
ASNBA676-16,Acadia15-34-40,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA676-16,Acadia15-34-40,Acadia15-34-40,BOLD:AAH1884,,373,0
ASNBA678-16,Acadia15-5-42,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA678-16,Acadia15-5-42,Acadia15-5-42,BOLD:AAH1884,,658,0
ASNBA679-16,Acadia15-16-43,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA679-16,Acadia15-16-43,Acadia15-16-43,BOLD:AAH1884,,658,0
ASNBA680-16,Acadia15-24-44,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA680-16,Acadia15-24-44,Acadia15-24-44,BOLD:AAH1884,,658,0
ASNBA685-16,Acadia15-16-49,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA685-16,Acadia15-16-49,Acadia15-16-49,BOLD:AAH1884,,410,0
ASNBA689-16,Acadia15-9-53,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA689-16,Acadia15-9-53,Acadia15-9-53,BOLD:AAH1884,,410,1
ASNBA690-16,Acadia15-24-24,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA690-16,Acadia15-24-24,Acadia15-24-24,BOLD:AAH1884,,410,1
ASNBA692-16,Acadia15-25-55b,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA692-16,Acadia15-25-55b,Acadia15-25-55b,BOLD:AAH1884,,658,0
ASNBA694-16,Acadia15-17-58,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA694-16,Acadia15-17-58,Acadia15-17-58,BOLD:AAH1884,,505,1
ASNBA698-16,Acadia15-45-62,HWBF Plot 9|Reared|Hardwood dominated stand,HWBF,Plot 9,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA698-16,Acadia15-45-62,Acadia15-45-62,BOLD:AAH1884,,614,0
ASNBA700-16,Acadia15-19-66,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA700-16,Acadia15-19-66,Acadia15-19-66,BOLD:AAH1884,,637,0
ASNBA701-16,Acadia15-24-67,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA701-16,Acadia15-24-67,Acadia15-24-67,BOLD:AAH1884,,658,0
ASNBA702-16,Acadia15-20-68,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA702-16,Acadia15-20-68,Acadia15-20-68,BOLD:AAH1884,,643,0
ASNBA703-16,Acadia15-19-69,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA703-16,Acadia15-19-69,Acadia15-19-69,BOLD:AAH1884,,658,0
ASNBA704-16,Acadia15-16-70,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA704-16,Acadia15-16-70,Acadia15-16-70,BOLD:AAH1884,,658,0
ASNBA705-16,Acadia15-39-71,HWBF Plot 8|Reared|Hardwood dominated stand,HWBF,Plot 8,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA705-16,Acadia15-39-71,Acadia15-39-71,BOLD:AAH1884,,658,0
ASNBA707-16,Acadia15-5-90,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA707-16,Acadia15-5-90,Acadia15-5-90,BOLD:AAH1884,,385,0
ASNBA708-16,Acadia15-16-91,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA708-16,Acadia15-16-91,Acadia15-16-91,BOLD:AAH1884,,385,0
ASNBA709-16,Acadia15-22-92,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA709-16,Acadia15-22-92,Acadia15-22-92,BOLD:AAH1884,,389,1
ASNBA712-16,Acadia15-19-95,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA712-16,Acadia15-19-95,Acadia15-19-95,BOLD:AAH1884,,371,0
ASNBA715-16,Acadia15-5-98,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA715-16,Acadia15-5-98,Acadia15-5-98,BOLD:AAH1884,,403,1
ASNBA718-16,Acadia15-34-101,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA718-16,Acadia15-34-101,Acadia15-34-101,BOLD:AAH1884,,410,0
ASNBA719-16,Acadia15-34-102,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA719-16,Acadia15-34-102,Acadia15-34-102,BOLD:AAH1884,,658,0
ASNBA721-16,Acadia15-33-104,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA721-16,Acadia15-33-104,Acadia15-33-104,BOLD:AAH1884,,658,0
ASNBA722-16,Acadia15-30-105a,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA722-16,Acadia15-30-105a,Acadia15-30-105a,BOLD:AAH1884,,658,0
ASNBA723-16,Acadia15-30-105b,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA723-16,Acadia15-30-105b,Acadia15-30-105b,BOLD:AAH1884,,658,0
ASNBA724-16,Acadia15-16-106,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA724-16,Acadia15-16-106,Acadia15-16-106,BOLD:AAH1884,,658,0
ASNBA727-16,Acadia15-33-107b,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA727-16,Acadia15-33-107b,Acadia15-33-107b,BOLD:AAH1884,,658,0
ASNBA728-16,Acadia15-30-108a,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA728-16,Acadia15-30-108a,Acadia15-30-108a,BOLD:AAH1884,,658,0
ASNBA730-16,Acadia15-21-110,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA730-16,Acadia15-21-110,Acadia15-21-110,BOLD:AAH1884,,658,0
ASNBA731-16,Acadia15-30-111,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA731-16,Acadia15-30-111,Acadia15-30-111,BOLD:AAH1884,,658,0
ASNBA732-16,Acadia15-26-112,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA732-16,Acadia15-26-112,Acadia15-26-112,BOLD:AAH1884,,658,0
ASNBA735-16,Acadia15-6-115,BFBF Plot 2|Reared|Balsam fir dominated stand,BFBF,Plot 2,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA735-16,Acadia15-6-115,Acadia15-6-115,BOLD:AAH1884,,410,0
ASNBA736-16,Acadia15-4-116,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA736-16,Acadia15-4-116,Acadia15-4-116,BOLD:AAH1884,,658,0
ASNBA739-16,Acadia15-41-138,HWBF Plot 9|Reared|Hardwood dominated stand,HWBF,Plot 9,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA739-16,Acadia15-41-138,Acadia15-41-138,BOLD:AAH1884,,410,0
ASNBA754-16,Acadia15-18-154,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA754-16,Acadia15-18-154,Acadia15-18-154,BOLD:AAH1884,,410,0
ASNBA759-16,Acadia15-11-159,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA759-16,Acadia15-11-159,Acadia15-11-159,BOLD:AAH1884,,632,0
ASNBA762-16,Acadia15-21-160b,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA762-16,Acadia15-21-160b,Acadia15-21-160b,BOLD:AAH1884,,658,0
ASNBA763-16,Acadia15-17-162,BFMX Plot 4|Reared|Mixed stand,BFMX,Plot 4,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA763-16,Acadia15-17-162,Acadia15-17-162,BOLD:AAH1884,,407,0
ASNBA765-16,Acadia15-28-164,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA765-16,Acadia15-28-164,Acadia15-28-164,BOLD:AAH1884,,407,0
ASNBA767-16,Acadia15-32-166,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA767-16,Acadia15-32-166,Acadia15-32-166,BOLD:AAH1884,,658,0
ASNBA768-16,Acadia15-30-167,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA768-16,Acadia15-30-167,Acadia15-30-167,BOLD:AAH1884,,658,0
ASNBA769-16,Acadia15-30-168,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA769-16,Acadia15-30-168,Acadia15-30-168,BOLD:AAH1884,,658,0
ASNBA770-16,Acadia15-24-169,BFMX Plot 5|Reared|Mixed stand,BFMX,Plot 5,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA770-16,Acadia15-24-169,Acadia15-24-169,BOLD:AAH1884,,658,0
ASNBA771-16,Acadia15-14-170,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA771-16,Acadia15-14-170,Acadia15-14-170,BOLD:AAH1884,,658,0
ASNBA773-16,Acadia15-27-172,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA773-16,Acadia15-27-172,Acadia15-27-172,BOLD:AAH1884,,407,0
ASNBA777-16,Acadia15-33-191b,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA777-16,Acadia15-33-191b,Acadia15-33-191b,BOLD:AAH1884,,658,0
ASNBA780-16,Acadia15-26-194,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA780-16,Acadia15-26-194,Acadia15-26-194,BOLD:AAH1884,,658,0
ASNBA781-16,Acadia15-26-195,BFMX Plot 6|Reared|Mixed stand,BFMX,Plot 6,Reared,Mixed stand,BFMXBOLD:AAH1884,ASNBA,ASNBA781-16,Acadia15-26-195,Acadia15-26-195,BOLD:AAH1884,,658,0
ASNBA787-16,Acadia15-1-201,BFBF Plot 1|Reared|Balsam fir dominated stand,BFBF,Plot 1,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA787-16,Acadia15-1-201,Acadia15-1-201,BOLD:AAH1884,,658,0
ASNBA790-16,Acadia15-33-204,HWBF Plot 7|Reared|Hardwood dominated stand,HWBF,Plot 7,Reared,Hardwood dominated stand,HWBFBOLD:AAH1884,ASNBA,ASNBA790-16,Acadia15-33-204,Acadia15-33-204,BOLD:AAH1884,,658,0
ASNBA792-16,Acadia15-13-205b,BFBF Plot 3|Reared|Balsam fir dominated stand,BFBF,Plot 3,Reared,Balsam fir dominated stand,BFBFBOLD:AAH1884,ASNBA,ASNBA792-16,Acadia15-13-205b,Acadia15-13-205b,BOLD:AAH1884,,658,0
